"ALFP0039    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0040    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0041    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0042    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0043    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0044    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0045    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0046    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0047    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0048    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0049    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0050    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0051    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0052    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0053    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0054    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0055    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0056    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0057    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0058    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0059    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0060    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0061    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0062    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0063    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0064    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0065    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0066    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMJASONO    ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0067    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMJASONO    ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0068    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMJASONO    ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0069    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMJASONO    ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0070    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMJASONO    ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0071    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMJASONO    ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0072    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0073    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
"ALFP0074    ","ALGO",20080101,,"2018-08-21-22.56.03.000000","KMROSA      ","2018-08-21-22.56.03.000000","JSPINELLI   "
